CGATS.17

CREATED "06/20/2022	#Time:	11:30:29"
INSTRUMENTATION "i1Pro 2 ; Serial number 0"
ILLUMINATION_NAME "D50"
OBSERVER_ANGLE "2"

NUMBER_OF_FIELDS 9
BEGIN_DATA_FORMAT
SAMPLE_ID SAMPLE_NAME CMYK_C CMYK_M CMYK_Y CMYK_K LAB_L LAB_A LAB_B 
END_DATA_FORMAT

NUMBER_OF_SETS 432
BEGIN_DATA
72 "E12" 49.41000 100.0000 0.00000 74.51000 19.87815 24.36172 -5.514359 
73 "E13" 100.0000 69.80000 0.00000 0.00000 24.65964 8.505985 -54.96007 
74 "E14" 100.0000 69.80000 20.00000 0.00000 24.80823 -1.483485 -45.94696 
75 "E15" 100.0000 69.80000 40.00000 0.00000 24.97972 -9.401157 -35.35423 
76 F1 100.0000 69.80000 69.80000 0.00000 28.49245 -20.78179 -16.85246 
77 F2 100.0000 69.80000 100.0000 0.00000 29.93339 -28.03621 4.386950 
78 F3 100.0000 100.0000 0.00000 0.00000 10.03477 22.03810 -34.05544 
79 F4 100.0000 100.0000 20.00000 0.00000 13.19364 20.82108 -34.25610 
80 F5 100.0000 100.0000 40.00000 0.00000 16.18465 16.07537 -29.48896 
81 F6 100.0000 100.0000 69.80000 0.00000 20.34605 7.961526 -16.91549 
82 F7 100.0000 100.0000 100.0000 0.00000 22.92134 0.0622422 -0.145131 
83 F8 9.410000 9.410000 9.410000 0.00000 79.13380 2.403110 -5.420244 
84 F9 9.410000 9.410000 9.410000 9.410000 74.12566 2.592027 -4.748094 
85 F10 11.37000 11.37000 11.37000 30.59000 61.70394 2.624214 -2.691185 
86 F11 37.65000 37.65000 37.65000 0.00000 54.44663 2.321720 -5.109286 
87 F12 0.00000 0.00000 0.00000 74.51000 36.84716 2.469108 3.946853 
88 F13 74.90000 74.90000 49.02000 54.51000 26.70702 8.004099 -9.074163 
89 F14 49.41000 49.41000 0.00000 74.51000 25.32996 8.566708 -8.774215 
90 F15 56.08000 56.08000 14.12000 41.96000 33.93188 11.79603 -17.84966 
91 G1 0.00000 0.00000 0.00000 0.00000 87.55444 3.031403 -8.420097 
92 G2 0.00000 0.00000 20.00000 0.00000 86.79671 -2.551585 12.77441 
93 G3 0.00000 0.00000 40.00000 0.00000 85.78302 -5.852699 30.64050 
94 G4 0.00000 0.00000 69.80000 0.00000 84.11588 -7.823735 55.64160 
95 G5 0.00000 0.00000 100.0000 0.00000 80.56763 -3.381222 83.55684 
96 G6 0.00000 20.00000 0.00000 0.00000 77.76365 20.23342 -12.58302 
97 G7 0.00000 20.00000 20.00000 0.00000 76.51899 16.11930 5.322146 
98 G8 0.00000 20.00000 40.00000 0.00000 75.34768 14.02903 20.16629 
99 G9 0.00000 20.00000 69.80000 0.00000 73.59763 12.64831 43.55415 
100 G10 0.00000 20.00000 100.0000 0.00000 72.74419 10.98534 74.41240 
101 G11 0.00000 40.00000 0.00000 0.00000 67.41179 38.14915 -14.56273 
102 G12 0.00000 40.00000 20.00000 0.00000 66.09814 35.70795 0.511611 
103 G13 0.00000 40.00000 40.00000 0.00000 64.92652 34.56205 14.23279 
104 G14 0.00000 40.00000 69.80000 0.00000 64.45364 31.50034 36.58134 
105 G15 0.00000 40.00000 100.0000 0.00000 64.54945 27.38008 66.32833 
106 H1 100.0000 100.0000 0.00000 100.0000 10.51700 0.227608 0.319338 
107 H2 94.90000 94.90000 25.88000 70.59000 19.01518 9.164021 -13.25597 
108 H3 100.0000 100.0000 0.00000 74.51000 16.64806 9.585709 -15.90047 
109 H4 20.00000 0.00000 0.00000 0.00000 80.62762 -7.854342 -19.02840 
110 H5 20.00000 0.00000 20.00000 0.00000 79.17575 -16.83700 2.421534 
111 H6 20.00000 0.00000 40.00000 0.00000 77.65265 -21.96631 18.54206 
112 H7 20.00000 0.00000 69.80000 0.00000 75.84613 -25.79409 41.75513 
113 H8 20.00000 0.00000 100.0000 0.00000 73.73428 -18.48632 71.83487 
114 H9 20.00000 20.00000 0.00000 0.00000 71.43599 8.431196 -21.86506 
115 H10 20.00000 20.00000 20.00000 0.00000 69.72603 2.467483 -4.433227 
116 H11 20.00000 20.00000 40.00000 0.00000 67.20557 -2.336413 9.797239 
117 H12 20.00000 20.00000 69.80000 0.00000 66.26293 -5.556464 31.71772 
118 H13 20.00000 20.00000 100.0000 0.00000 66.96857 -3.658682 64.21894 
119 H14 20.00000 40.00000 0.00000 0.00000 61.45795 24.74186 -23.59982 
120 H15 20.00000 40.00000 20.00000 0.00000 59.78981 20.72421 -8.961164 
121 I1 20.00000 40.00000 40.00000 0.00000 58.83630 16.52384 3.984761 
122 I2 20.00000 40.00000 69.80000 0.00000 58.42161 13.16011 25.27299 
123 I3 20.00000 40.00000 100.0000 0.00000 60.05894 10.71262 57.11505 
124 I4 76.47000 76.47000 30.20000 78.04000 20.87708 7.240772 -7.256180 
125 I5 96.47000 63.53000 27.45000 70.59000 21.64082 -1.680464 -14.09748 
126 I6 100.0000 49.41000 0.00000 74.51000 20.10512 -4.049718 -19.40686 
127 I7 40.00000 0.00000 0.00000 0.00000 73.61085 -17.33541 -28.78249 
128 I8 40.00000 0.00000 20.00000 0.00000 72.43021 -26.73596 -8.253264 
129 I9 40.00000 0.00000 40.00000 0.00000 70.58740 -34.50820 7.616222 
130 I10 40.00000 0.00000 69.80000 0.00000 68.57272 -40.18831 29.65313 
131 I11 40.00000 0.00000 100.0000 0.00000 66.74138 -34.17283 59.18822 
132 I12 40.00000 20.00000 0.00000 0.00000 64.30315 -1.541555 -31.24290 
133 I13 40.00000 20.00000 20.00000 0.00000 62.50685 -9.927124 -13.98230 
134 I14 40.00000 20.00000 40.00000 0.00000 61.02404 -16.29791 0.666332 
135 I15 40.00000 20.00000 69.80000 0.00000 60.60471 -21.23773 22.77747 
136 J1 40.00000 20.00000 100.0000 0.00000 60.73743 -19.53191 52.86988 
137 J2 40.00000 40.00000 0.00000 0.00000 55.99272 13.90493 -31.49866 
138 J3 40.00000 40.00000 20.00000 0.00000 54.02705 7.668555 -17.74695 
139 J4 40.00000 40.00000 40.00000 0.00000 52.97391 2.617657 -4.951394 
140 J5 40.00000 40.00000 69.80000 0.00000 53.27926 -2.879560 15.47451 
141 J6 40.00000 40.00000 100.0000 0.00000 54.04450 -4.309863 46.39627 
142 J7 69.41000 69.41000 60.00000 60.00000 27.51405 5.741105 -2.513415 
143 J8 69.41000 49.41000 40.00000 69.41000 26.53385 -0.388294 -5.461001 
144 J9 69.41000 69.41000 60.00000 20.00000 33.92268 5.555287 -7.250452 
145 J10 69.80000 0.00000 0.00000 0.00000 61.29404 -28.61542 -44.25106 
