CGATS.17

CREATED "06/20/2022	#Time:	11:30:29"
INSTRUMENTATION "i1Pro 2 ; Serial number 0"
ILLUMINATION_NAME "D50"
OBSERVER_ANGLE "2"

NUMBER_OF_FIELDS 9
BEGIN_DATA_FORMAT
SAMPLE_ID SAMPLE_NAME CMYK_C CMYK_M CMYK_Y CMYK_K LAB_L LAB_A LAB_B 
END_DATA_FORMAT

NUMBER_OF_SETS 432
BEGIN_DATA
311 U11 69.80000 0.00000 100.0000 24.71000 50.27573 -44.97518 37.23919 
312 U12 69.80000 20.00000 0.00000 24.71000 45.56165 -13.15215 -32.37745 
313 U13 69.80000 20.00000 20.00000 24.71000 44.90163 -20.38911 -21.04955 
314 U14 69.80000 20.00000 40.00000 24.71000 44.81020 -26.50665 -10.14826 
315 U15 69.80000 20.00000 69.80000 24.71000 45.44384 -32.55334 7.181531 
316 V1 69.80000 20.00000 100.0000 24.71000 47.09033 -34.33673 32.23630 
317 V2 69.80000 40.00000 0.00000 24.71000 40.00962 -0.956744 -33.75610 
318 V3 69.80000 40.00000 20.00000 24.71000 39.90738 -6.941944 -23.41661 
319 V4 69.80000 40.00000 40.00000 24.71000 40.16282 -12.30545 -13.48411 
320 V5 69.80000 40.00000 69.80000 24.71000 41.01488 -19.00291 2.954060 
321 V6 69.80000 40.00000 100.0000 24.71000 43.20653 -21.73699 25.74331 
322 V7 0.00000 0.00000 100.0000 100.0000 11.11763 0.354223 3.860730 
323 V8 49.41000 49.41000 100.0000 74.51000 29.25480 1.225933 16.13278 
324 V9 61.57000 61.57000 81.18000 36.86000 36.11817 1.808837 8.817255 
325 V10 100.0000 0.00000 0.00000 24.71000 36.41563 -21.90624 -49.72250 
326 V11 100.0000 0.00000 20.00000 24.71000 36.28230 -32.67039 -38.80410 
327 V12 100.0000 0.00000 40.00000 24.71000 36.64917 -42.91995 -27.78267 
328 V13 100.0000 0.00000 69.80000 24.71000 37.05971 -56.79618 -9.972483 
329 V14 100.0000 0.00000 100.0000 24.71000 38.51622 -64.80080 16.36559 
330 V15 100.0000 20.00000 0.00000 24.71000 33.37037 -15.83248 -49.00634 
331 W1 100.0000 20.00000 20.00000 24.71000 33.96745 -26.43442 -38.75607 
332 W2 100.0000 20.00000 40.00000 24.71000 33.99761 -35.66273 -27.91363 
333 W3 100.0000 20.00000 69.80000 24.71000 36.00903 -48.06608 -9.518301 
334 W4 100.0000 20.00000 100.0000 24.71000 37.71730 -53.74479 13.66532 
335 W5 100.0000 40.00000 0.00000 24.71000 30.23191 -9.148687 -48.07201 
336 W6 100.0000 40.00000 20.00000 24.71000 30.69055 -17.93598 -39.02518 
337 W7 100.0000 40.00000 40.00000 24.71000 31.01270 -26.37054 -29.05725 
338 W8 100.0000 40.00000 69.80000 24.71000 33.91907 -36.51765 -11.06402 
339 W9 100.0000 40.00000 100.0000 24.71000 35.94319 -41.23367 9.952211 
340 W10 0.00000 0.00000 100.0000 74.51000 40.03736 -3.478303 36.86325 
341 W11 15.69000 15.69000 57.65000 41.96000 50.53603 -1.690030 18.89337 
342 W12 14.90000 14.90000 98.04000 41.96000 54.17514 -4.381448 48.53844 
343 W13 0.00000 69.80000 0.00000 24.71000 45.73129 48.95112 -8.686662 
344 W14 0.00000 69.80000 20.00000 24.71000 45.34934 47.55074 -0.234282 
345 W15 0.00000 69.80000 40.00000 24.71000 45.62961 45.59558 8.885050 
346 X1 0.00000 69.80000 69.80000 24.71000 46.60296 42.88328 23.83288 
347 X2 0.00000 69.80000 100.0000 24.71000 47.34489 39.30932 47.40940 
348 X3 0.00000 100.0000 0.00000 24.71000 35.52118 63.35403 20.75067 
349 X4 0.00000 100.0000 20.00000 24.71000 35.94471 63.20947 23.00031 
350 X5 0.00000 100.0000 40.00000 24.71000 36.07186 62.27735 25.70562 
351 X6 0.00000 100.0000 69.80000 24.71000 36.51081 60.98427 32.60511 
352 X7 0.00000 100.0000 100.0000 24.71000 38.25135 57.54191 43.22144 
353 X8 40.00000 29.41000 29.41000 9.410000 55.41937 -3.356278 -8.245468 
354 X9 29.41000 20.00000 20.00000 40.00000 50.15097 -0.308633 -4.041839 
355 X10 49.41000 40.00000 40.00000 20.00000 45.78002 -1.557767 -6.570125 
356 X11 69.41000 69.41000 69.41000 40.00000 31.71886 4.401758 -1.233798 
357 X12 100.0000 100.0000 100.0000 74.51000 21.27194 4.589290 1.047325 
358 X13 29.41000 65.49000 96.08000 70.59000 29.87666 12.51233 17.27006 
359 X14 0.00000 49.41000 100.0000 74.51000 32.48829 12.04425 26.23899 
360 X15 0.00000 0.00000 49.41000 74.51000 36.26451 -0.583053 15.91898 
361 Y1 20.00000 69.80000 0.00000 24.71000 41.73306 40.65982 -15.94824 
362 Y2 20.00000 69.80000 20.00000 24.71000 41.49204 38.20939 -7.414574 
363 Y3 20.00000 69.80000 40.00000 24.71000 41.56094 35.61120 1.170433 
364 Y4 20.00000 69.80000 69.80000 24.71000 42.76688 32.63485 16.54370 
365 Y5 20.00000 69.80000 100.0000 24.71000 44.55308 28.15956 39.76541 
366 Y6 20.00000 100.0000 0.00000 24.71000 31.62333 56.44009 11.31030 
367 Y7 20.00000 100.0000 20.00000 24.71000 31.96806 56.20979 14.23529 
368 Y8 20.00000 100.0000 40.00000 24.71000 32.36778 55.28408 16.92178 
369 Y9 20.00000 100.0000 69.80000 24.71000 34.30182 53.06397 22.04292 
370 Y10 20.00000 100.0000 100.0000 24.71000 36.48717 48.18796 34.38733 
371 Y11 0.00000 100.0000 0.00000 49.41000 29.42486 50.87616 12.75583 
372 Y12 0.00000 100.0000 34.51000 49.41000 30.23422 50.36837 16.61010 
373 Y13 0.00000 100.0000 64.71000 49.41000 31.56739 48.19211 20.46182 
374 Y14 0.00000 100.0000 100.0000 49.41000 33.76022 43.99820 31.25414 
375 Y15 76.08000 76.08000 76.08000 67.45000 24.80653 4.897088 0.786567 
376 Z1 49.41000 100.0000 100.0000 74.51000 24.16772 16.89386 9.623247 
377 Z2 29.02000 94.51000 94.51000 70.59000 26.50618 22.48742 13.27056 
378 Z3 0.00000 100.0000 100.0000 74.51000 26.12379 27.13388 17.22182 
379 Z4 40.00000 69.80000 0.00000 24.71000 37.60364 32.25327 -23.04321 
380 Z5 40.00000 69.80000 20.00000 24.71000 37.59027 28.71254 -14.40085 
381 Z6 40.00000 69.80000 40.00000 24.71000 38.20229 25.75563 -5.654234 
382 Z7 40.00000 69.80000 69.80000 24.71000 39.23647 22.10179 9.539503 
383 Z8 40.00000 69.80000 100.0000 24.71000 41.05942 17.49779 30.59647 
384 Z9 40.00000 100.0000 0.00000 24.71000 27.89052 49.76907 1.667452 
385 Z10 40.00000 100.0000 20.00000 24.71000 28.04335 48.61973 4.196215 
386 Z11 40.00000 100.0000 40.00000 24.71000 29.00920 47.68407 6.880999 
387 Z12 40.00000 100.0000 69.80000 24.71000 31.73625 43.39263 11.86523 
388 Z13 40.00000 100.0000 100.0000 24.71000 33.81602 38.60527 25.72857 
389 Z14 34.51000 100.0000 0.00000 49.41000 24.89886 42.88383 1.191026 
390 Z15 34.51000 100.0000 34.51000 49.41000 26.78428 39.63789 2.273858 
391 2A1 34.51000 100.0000 64.71000 49.41000 29.04625 35.54122 7.984710 
392 2A2 34.51000 100.0000 100.0000 49.41000 30.93948 31.03782 19.54125 
393 2A3 0.00000 0.00000 0.00000 100.0000 15.83436 0.416443 1.135570 
394 2A4 49.02000 74.90000 74.90000 54.51000 31.46255 14.98596 6.471854 
395 2A5 0.00000 49.41000 49.41000 74.51000 30.66743 14.98827 9.078634 
396 2A6 14.12000 56.08000 56.08000 41.96000 41.64859 22.82746 10.84900 
397 2A7 69.80000 69.80000 0.00000 24.71000 31.65498 19.14753 -33.64761 
398 2A8 69.80000 69.80000 20.00000 24.71000 31.86206 14.56769 -25.49447 
399 2A9 69.80000 69.80000 40.00000 24.71000 32.11466 10.07979 -17.04383 
400 2A10 69.80000 69.80000 69.80000 24.71000 34.05370 4.073337 -1.627606 
401 2A11 69.80000 69.80000 100.0000 24.71000 36.20996 -0.618190 17.18564 
402 2A12 69.80000 100.0000 0.00000 24.71000 20.50486 36.95257 -13.59294 
403 2A13 69.80000 100.0000 20.00000 24.71000 22.22826 35.50713 -14.12925 
404 2A14 69.80000 100.0000 40.00000 24.71000 24.29433 32.30421 -11.38612 
405 2A15 69.80000 100.0000 69.80000 24.71000 26.76421 26.12355 -1.878059 
406 2B1 69.80000 100.0000 100.0000 24.71000 29.70988 21.36600 12.65603 
407 2B2 64.71000 100.0000 0.00000 49.41000 21.32428 31.88197 -13.50454 
408 2B3 64.71000 100.0000 34.51000 49.41000 24.10696 27.20811 -9.220052 
409 2B4 64.71000 100.0000 64.71000 49.41000 26.18600 23.25186 -1.417881 
410 2B5 64.71000 100.0000 100.0000 49.41000 28.03355 19.23996 10.68782 
411 2B6 78.43000 78.43000 78.43000 43.53000 29.79427 4.407003 -0.592536 
412 2B7 32.55000 74.51000 74.51000 78.04000 25.61674 13.90102 7.457995 
413 2B8 29.41000 96.08000 65.49000 70.59000 25.48162 25.01318 6.492126 
414 2B9 0.00000 100.0000 49.41000 74.51000 24.46685 31.56890 8.663082 
415 2B10 100.0000 69.80000 0.00000 24.71000 23.00410 5.250111 -46.17120 
416 2B11 100.0000 69.80000 20.00000 24.71000 24.45833 -1.506791 -37.92601 
417 2B12 100.0000 69.80000 40.00000 24.71000 26.29873 -7.125273 -28.87857 
418 2B13 100.0000 69.80000 69.80000 24.71000 28.51961 -14.61208 -13.41820 
419 2B14 100.0000 69.80000 100.0000 24.71000 30.73484 -20.24703 4.606605 
420 2B15 100.0000 100.0000 0.00000 24.71000 14.37791 21.03682 -35.25444 
421 2C1 100.0000 100.0000 20.00000 24.71000 17.90400 17.81368 -31.20927 
422 2C2 100.0000 100.0000 40.00000 24.71000 20.53643 13.86464 -24.87905 
423 2C3 100.0000 100.0000 69.80000 24.71000 22.76150 7.278323 -13.59334 
424 2C4 100.0000 100.0000 100.0000 24.71000 25.21147 2.287000 -0.155330 
425 2C5 100.0000 100.0000 0.00000 49.41000 17.41626 16.18779 -28.18063 
426 2C6 100.0000 100.0000 34.51000 49.41000 20.67507 11.54119 -20.35256 
427 2C7 100.0000 100.0000 64.71000 49.41000 22.38754 7.879168 -11.56669 
428 2C8 100.0000 100.0000 100.0000 49.41000 25.09268 4.204541 0.133771 
429 2C9 49.41000 49.41000 49.41000 74.51000 27.16250 4.760683 1.803082 
430 2C10 0.00000 100.0000 100.0000 100.0000 10.71239 2.333812 2.067318 
431 2C11 84.71000 84.71000 84.71000 94.51000 14.87855 1.895547 1.557273 
432 2C12 100.0000 100.0000 100.0000 100.0000 10.85690 0.340290 1.349428 
END_DATA
